,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2018,"454,106","40,708","1,103",97,97,"301,955","447,497","396,803","275,217","50,694",19.00,"10,139.00",,0.02,0.38,0.04
Năm 2019,"724,569","61,218","12,289","9,553","9,553","549,094","699,844","599,810","492,407","100,034","1,061.00","11,115.00",,1.32,12.68,1.67
Năm 2020,"842,716","90,054","29,099","24,524","24,524","620,443","820,855","609,298","475,113","211,558","1,635.00","14,104.00",,2.91,15.74,3.23
Năm 2021,"1,048,920","122,588","52,226","50,141","50,141","707,903","1,032,943","592,321","450,568","440,622","1,857.00","16,319.00",0,4.78,15.38,5.41
Năm 2022,"1,178,951","165,189","63,388","54,415","54,415","831,975","1,359,266","711,035","654,073","648,231","1,526.00","18,183.00",8.39,4.62,9.99,4.55
Năm 2023,"1,481,720","158,240","48,993","43,162","43,162","823,097","1,532,921","844,248","799,144","688,672","1,211.00","19,318.00",9.58,2.91,6.46,2.98
Năm 2024,"1,579,969","140,598","57,816","47,875","47,875","940,865","1,634,570","898,023","869,787","736,547","1,256.00","17,217.00",6.24,3.03,6.72,3.02
