,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2012,"121,980","32,670","4,978","5,258","5,258","54,393","98,239","28,028","28,028","70,211","1,502.00","20,060.00",0,4.31,14.98,10.70
Năm 2013,"151,880","62,202","10,724","7,943","7,943","84,469","147,326","55,689","49,989","91,637","1,513.00","17,455.00",0,5.23,9.81,6.47
Năm 2014,"184,296","77,938","18,523","11,690","11,690","62,257","151,836","55,558","35,239","96,279","2,227.00","18,339.00",0,6.34,12.44,7.81
Năm 2015,"212,098","99,102","19,127","16,220","16,220","80,265","177,598","74,898","59,039","102,700","3,089.00","19,562.00",6.05,7.65,16.30,9.85
Năm 2016,"236,311","118,602","26,944","22,517","22,517","101,561","194,553","64,121","54,662","130,432","3,423.00","19,181.00",9.38,9.53,19.32,12.10
Năm 2017,"322,482","186,061","46,495","38,335","38,335","128,459","214,656","68,801","62,542","145,855","5,638.00","21,449.00",13.84,11.89,27.75,18.74
Năm 2018,"471,177","297,299","101,797","80,063","80,063","144,296","239,811","58,949","55,890","180,862","11,774.00","26,597.00",7.22,16.99,49.01,35.23
Năm 2019,"410,804","262,041","103,437","82,722","82,722","242,393","369,181","67,494","67,494","301,687","10,365.00","35,080.00",7.14,20.14,34.29,27.17
Năm 2020,"395,721","273,715","142,427","114,061","114,061","254,811","441,359","94,911","94,911","346,448","13,263.00","40,285.00",6.54,28.82,35.20,28.14
Năm 2021,"381,077","262,084","116,363","92,927","92,927","253,725","443,792","78,920","78,920","364,872","10,805.00","42,427.00",10.46,24.39,26.13,21.00
Năm 2022,"485,066","336,538","136,396","108,824","108,824","310,186","507,868","90,418","90,418","417,450","12,654.00","48,541.00",7.43,22.43,27.82,22.87
Năm 2023,"409,731","281,503","156,641","125,263","125,263","383,752","570,626","102,154","101,179","468,472","9,909.00","21,789.00",6.61,30.57,28.28,23.23
Năm 2024,"417,485","276,054","151,849","121,172","121,172","433,326","607,777","88,896","88,896","518,881","5,659.00","24,134.00",10.34,29.02,24.54,20.57
