,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2011,"2,649,433","283,332","23,876","20,518","20,518","997,413","1,070,329","950,348","941,511","119,980","2,451.00","14,331.00",,0.77,34.20,3.83
Năm 2012,"2,660,797","232,888","28,342","21,636","21,636","973,108","1,053,440","918,023","915,023","135,417","2,489.00","15,576.00",,0.81,16.94,2.04
Năm 2013,"2,942,926","313,726","32,933","24,369","24,369","1,107,062","1,230,737","1,077,409","1,035,074","153,329","2,661.00","16,745.00",,0.83,16.88,2.13
Năm 2014,"2,943,035","279,117","36,530","30,333","30,333","1,258,936","1,348,182","1,179,507","1,143,723","168,675","3,313.00","18,421.00",,1.03,18.84,2.35
Năm 2015,,,,,,"1,244,783","1,361,621","1,136,751","1,135,206","224,870",0,"10,719.00",,0,0,0
Năm 2016,"2,230,954","274,080","33,903","28,835","28,835","1,404,702","1,503,281","1,270,655","1,269,110","232,625","1,374.00","11,088.00",,1.29,12.61,2.01
Năm 2017,"2,390,025","268,331","35,178","34,561","34,561","1,730,257","1,863,357","1,641,095","1,639,550","222,262","1,647.00","10,595.00",0,1.45,15.20,2.05
Năm 2018,"2,619,774","286,251","37,971","31,751","31,751","1,444,713","1,583,670","1,328,104","1,326,559","255,566","1,513.00","12,182.00",7.27,1.21,13.29,1.84
Năm 2019,"2,315,698","273,357","47,300","37,780","37,780","1,194,047","1,352,729","1,096,824","1,096,824","255,904","1,801.00","12,198.00",8.22,1.63,14.77,2.57
Năm 2020,"2,058,376","277,296","48,596","40,562","40,562","1,110,184","1,273,609","1,015,832","1,015,832","257,777","1,933.00","12,287.00",8.43,1.97,15.79,3.09
Năm 2021,"2,182,420","248,597","57,609","44,992","44,992","974,704","1,131,602","867,484","867,484","264,118","2,145.00","12,590.00",13.06,2.06,17.24,3.74
Năm 2022,"2,159,464","293,720","65,242","50,488","50,488","1,003,413","1,159,932","888,590","888,590","271,342","2,407.00","12,934.00",8.10,2.34,18.86,4.41
Năm 2023,"2,158,359","353,173","145,019","115,939","115,939","979,379","1,134,741","783,246","783,246","351,495","5,526.00","16,755.00",6.22,5.37,37.23,10.11
Năm 2024,"2,025,737","311,126","119,059","113,759","113,759","1,243,266","1,393,197","881,667","881,667","511,530","5,423.00","24,383.00",7.06,5.62,26.36,9.00
